Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,≤3,≥10,Apr,May,Jun
1,Oklahoma City Thunder,16-7,11-2,5-5,4-3,12-4,,4-3,,8-4,,4-0,2-2,10-3,4-0,8-4,4-3
2,Indiana Pacers,15-8,8-3,7-5,12-4,3-4,4-2,8-2,,3-4,,,4-0,5-6,4-1,8-3,3-4
3,New York Knicks,10-8,4-5,6-3,10-8,,4-2,6-6,,,,,5-2,3-3,3-2,7-6,
4,Minnesota Timberwolves,9-6,5-2,4-4,,9-6,,,,1-4,8-2,,1-1,5-4,4-1,5-5,
5,Denver Nuggets,7-7,5-2,2-5,,7-7,,,,3-4,4-3,,3-1,3-3,3-2,4-5,
6,Boston Celtics,6-5,4-2,2-3,6-5,,2-4,,4-1,,,,0-3,4-1,4-1,2-4,
7,Cleveland Cavaliers,5-4,2-3,3-1,5-4,,,1-4,4-0,,,,0-1,4-1,4-0,1-4,
8,Golden State Warriors,5-7,2-3,3-4,,5-7,,,,1-4,,4-3,1-0,4-4,3-2,2-5,
9,Houston Rockets,3-4,2-2,1-2,,3-4,,,,,3-4,,0-1,2-3,2-3,1-1,
10,Los Angeles Clippers,3-4,2-1,1-3,,3-4,,,,3-4,,,1-2,1-2,2-3,1-1,
11,Detroit Pistons,2-4,0-3,2-1,2-4,,2-4,,,,,,1-3,0-1,2-3,0-1,
12,Los Angeles Lakers,1-4,1-2,0-2,,1-4,,,,1-4,,,0-1,0-2,1-4,,
13,Milwaukee Bucks,1-4,1-1,0-3,1-4,,,1-4,,,,,0-1,1-2,1-4,,
14,Orlando Magic,1-4,1-1,0-3,1-4,,1-4,,,,,,1-0,0-2,1-4,,
15,Memphis Grizzlies,0-4,0-2,0-2,,0-4,,,,0-4,,,0-1,0-2,0-4,,
16,Miami Heat,0-4,0-2,0-2,0-4,,,0-4,,,,,,0-3,0-4,,
