Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,43.5,110,-130,Game 82,43,Under
Boston Celtics,52.5,110,-130,Game 82,53,Over
Brooklyn Nets,21.5,-130,110,Game 81,20,Under
Charlotte Hornets,42.5,100,-120,Game 72,36,Under
Chicago Bulls,39.0,-145,125,Game 81,41,Over
Cleveland Cavaliers,56.5,-115,-105,Game 73,51,Under
Dallas Mavericks,39.5,110,-130,Game 74,33,Under
Denver Nuggets,37.0,-125,105,Game 79,40,Over
Detroit Pistons,44.5,110,-130,Game 72,37,Under
Golden State Warriors,66.5,-110,-110,Game 82,67,Over
Houston Rockets,44.0,-145,125,Game 66,55,Over
Indiana Pacers,44.5,-135,115,Game 75,42,Under
Los Angeles Clippers,53.5,105,-125,Game 69,51,Under
Los Angeles Lakers,24.5,-115,-105,Game 80,26,Over
Memphis Grizzlies,42.5,100,-120,Game 80,43,Over
Miami Heat,34.5,-115,-105,Game 71,41,Over
Milwaukee Bucks,34.5,-140,120,Game 70,42,Over
Minnesota Timberwolves,41.5,-155,135,Game 69,31,Under
New Orleans Pelicans,36.5,-115,-105,Game 79,34,Under
New York Knicks,38.5,-145,125,Game 71,31,Under
Oklahoma City Thunder,45.0,-140,120,Game 80,47,Over
Orlando Magic,37.5,105,-125,Game 69,29,Under
Philadelphia 76ers,23.5,-135,115,Game 66,28,Over
Phoenix Suns,29.5,-105,-115,Game 75,24,Under
Portland Trail Blazers,45.5,100,-120,Game 66,41,Under
Sacramento Kings,33.5,-115,-105,Game 80,32,Under
San Antonio Spurs,57.5,130,-150,Game 75,61,Over
Toronto Raptors,50.5,-115,-105,Game 82,51,Over
Utah Jazz,47.5,-120,100,Game 78,51,Over
Washington Wizards,42.5,105,-125,Game 71,49,Over
